hypothesis_id,hypothesis,n_raters,zone_entropy_bits,dominant_zone,dominant_zone_count,mean_conjunctive_conflict_K,mean_ignorance_I,pcr6_cascade_natural_T,pcr6_cascade_natural_I,pcr6_cascade_natural_F,pcr6_cascade_order_spread_T,pcr6_cascade_order_spread_I,pcr6_cascade_order_spread_F
13,¿La Organizacion Mundial del Comercio tiene un mecanismo de resolucion de disputas comerciales,17,1.2533,Consensus,9,0.1919,0.1872,0.9958,0.0,0.0042,0.236,0.0,0.236
14,¿La Politica Agricola Comun de la UE es eficiente para apoyar a los agricultores de pequena escala,17,0.6402,Ambiguity,15,0.2168,0.3391,0.5776,0.0,0.4224,0.4229,0.0,0.4229
15,¿El equilibrio geopolitico de poder cambiara significativamente debido al cambio climatico para 2050,17,0.3228,Ambiguity,16,0.179,0.3529,0.9441,0.0,0.0559,0.1987,0.0,0.1987
16,¿Los bancos centrales deberian adoptar monedas digitales (CBDC) para mejorar la politica monetaria,17,0.3228,Ambiguity,16,0.1928,0.3667,0.7942,0.0,0.2058,0.3196,0.0,0.3196
17,¿Las sanciones economicas son una herramienta efectiva para cambiar el comportamiento de regimenes autoritarios,17,0.6402,Ambiguity,15,0.2049,0.3568,0.5775,0.0,0.4225,0.3466,0.0,0.3466
18,¿La arquitectura Web3 e internet descentralizado es superior al modelo centralizado actual,17,0.3228,Ambiguity,16,0.1821,0.3869,0.7363,0.0,0.2637,0.295,0.0,0.295
19,¿La arquitectura Transformer ha alcanzado sus limites fundamentales de escalabilidad para capacidades de IA,17,0.6402,Ambiguity,15,0.2008,0.3658,0.5905,0.0,0.4095,0.4658,0.0,0.4658
20,¿La Ley de Moore sigue vigente en su formulacion original para la densidad de transistores,17,0.978,Ambiguity,13,0.2341,0.3201,0.3575,0.0,0.6425,0.5149,0.0,0.5149
21,¿La fusion nuclear ha logrado ganancia neta de energia sostenida en un reactor practico y escalable,17,0.3228,Ambiguity,16,0.2074,0.361,0.4325,0.0,0.5675,0.503,0.0,0.503
22,¿Los sistemas actuales de IA pueden lograr inteligencia artificial general (AGI),17,0.952,Ambiguity,14,0.2217,0.3419,0.3332,0.0,0.6668,0.6857,0.0,0.6857
23,¿El Metaverso se ha convertido en la plataforma principal para el trabajo diario y la interaccion social,17,0.8343,Ambiguity,14,0.2296,0.3155,0.1709,0.0,0.8291,0.6179,0.0,0.6179
24,¿La privacidad diferencial es una tecnica suficiente para proteger datos individuales en aprendizaje automatico,17,0.952,Ambiguity,14,0.2101,0.3424,0.7607,0.0,0.2393,0.4095,0.0,0.4095
25,¿El entrenamiento de modelos grandes de IA contribuye significativamente a las emisiones globales de carbono,17,0.8343,Ambiguity,14,0.2161,0.3266,0.8413,0.0,0.1587,0.4842,0.0,0.4842
26,¿Las celdas de combustible de hidrogeno se convertiran en la tecnologia dominante para transporte de larga distancia,17,0.6402,Ambiguity,15,0.2107,0.3429,0.7112,0.0,0.2888,0.3106,0.0,0.3106
27,¿El xenotrasplante de organos de cerdo geneticamente modificados se convertira en practica medica rutinaria en 10 anos,17,0.3228,Ambiguity,16,0.198,0.3678,0.643,0.0,0.357,0.3579,0.0,0.3579
28,¿Los antibioticos son efectivos contra infecciones virales como el resfriado comun,17,1.221,Ambiguity,10,0.2709,0.221,0.0007,0.0,0.9993,0.6376,0.0,0.6376
29,¿La tecnologia blockchain ha sido ampliamente adoptada para la gestion de cadenas de suministro empresariales,17,0.3228,Ambiguity,16,0.2093,0.3547,0.5816,0.0,0.4184,0.4104,0.0,0.4104
30,¿La computacion cuantica es capaz de romper la encriptacion RSA-2048 con el hardware actualmente disponible,17,1.4021,Ambiguity,8,0.2802,0.2281,0.0085,0.0,0.9915,0.6837,0.0,0.6837
